variable_id,variable,primary_mechanistic,inspection_grade,ablation_category,steering_category,target_feature,feature_high_side,n_pairs,bos_fallback_pairs,baseline_mean_logit_margin,steered_mean_logit_margin,target_behavioral_effect,target_behavioral_effect_ci_low,target_behavioral_effect_ci_high,target_behavioral_effect_p,baseline_high_token_preference_rate,steered_high_token_preference_rate,high_token_preference_rate_change,target_minus_control_behavioral_effect,target_minus_control_ci_low,target_minus_control_ci_high,target_minus_control_p,primary_cohort_fdr_q,all40_exploratory_fdr_q,behavior_effect_dose_0_5,behavior_effect_dose_1_0,behavior_effect_dose_2_0,dose_monotonic_non_decreasing,behavioral_category
12,optionality_vs_obligatoriness_of_marking,False,D,null_or_reverse,positive_control_advantage,9607,changed,50,0,-2.6942881393432616,-2.694234390258789,5.374908447265625e-05,-8.005332946777344e-05,0.00018193912506103506,0.43778110944527737,0.2,0.2,0.0,-2.1909077962239573e-05,-0.00016466172536214196,0.00011575953165690085,0.8025987006496752,,0.8676742709726218,2.780914306640625e-05,5.374908447265625e-05,0.00010540008544921875,True,positive_nonspecific
13,redundancy_cumulative_exponence,False,B,null_or_reverse,null_or_reverse,4814,changed,50,0,1.0052838134765625,1.0045365524291991,-0.0007472610473632812,-0.002836353302001953,0.0015184783935546869,0.49975012493753124,0.52,0.52,0.0,0.0014137649536132813,-0.0008959137598673503,0.003939265251159667,0.24887556221889057,,0.3687045366205786,-0.00036754608154296873,-0.0007472610473632812,-0.0015179443359375,False,null_or_reverse
14,definiteness_and_specificity,True,C,specific_positive,specific_positive,12995,basis,50,20,-0.6628972053527832,-0.6635285377502441,-0.0006313323974609375,-0.001483884811401367,0.00019216012954711886,0.12893553223388307,0.4,0.4,0.0,-0.0003444417317708334,-0.0013857111930847168,0.0005911623636881511,0.4547726136931534,0.5247376311844077,0.5809595202398801,-0.00031572341918945313,-0.0006313323974609375,-0.0012785720825195313,False,null_or_reverse
15,number_marking,False,B,positive_nonspecific,specific_positive,8685,changed,50,0,-0.8109243774414062,-0.8114064407348632,-0.00048206329345703127,-0.0015676326751708984,0.0005391006469726562,0.38980509745127434,0.46,0.46,0.0,-0.000923932393391927,-0.0027845217386881513,0.0008010447820027662,0.335832083958021,,0.47976011994003,-0.00023967742919921874,-0.00048206329345703127,-0.0009539413452148437,False,null_or_reverse
16,gender_noun_class,True,A,specific_positive,specific_positive,5205,changed,50,50,-0.3705591201782227,-0.38627388000488283,-0.015714759826660155,-0.023029289245605468,-0.007685140609741215,0.0009995002498750624,0.5,0.5,0.0,-0.013283551534016924,-0.017694422403971354,-0.008871961275736494,0.0009995002498750624,0.0021417862497322766,0.004442223332778055,-0.007829208374023438,-0.015714759826660155,-0.031458892822265626,False,null_or_reverse
17,animacy_and_humanness,True,D,specific_positive,specific_positive,6618,changed,50,0,1.5702191925048827,1.576049156188965,0.005829963684082031,0.0021099605560302736,0.010029937744140623,0.0029985007496251873,0.58,0.58,0.0,0.006903317769368489,0.0029048210779825854,0.01145133845011393,0.0009995002498750624,0.0021417862497322766,0.004442223332778055,0.002921180725097656,0.005829963684082031,0.011575279235839843,True,specific_positive
18,person_marking_and_person_hierarchy,False,B,null_or_reverse,positive_control_advantage,13235,changed,50,26,-0.24570277214050293,-0.24579724311828613,-9.447097778320313e-05,-0.0002480554580688477,5.964398384094233e-05,0.22988505747126436,0.58,0.58,0.0,-8.599281311035156e-05,-0.00023458464940388993,5.408008893330881e-05,0.23488255872063968,,0.361357782647138,-4.2467117309570314e-05,-9.447097778320313e-05,-0.00018598556518554688,False,null_or_reverse
19,inclusive_exclusive_distinction,True,C,specific_positive,specific_positive,6062,basis,50,0,1.68778076171875,1.6884700012207032,0.000689239501953125,0.00014933204650878905,0.0012247619628906246,0.014992503748125937,0.68,0.68,0.0,0.0007344563802083333,0.0001543496449788412,0.0012598705291748046,0.013993003498250875,0.02332167249708479,0.03731467599533567,0.0003493499755859375,0.000689239501953125,0.00137908935546875,True,specific_positive
20,pronoun_richness_and_reduction,True,A,specific_positive,specific_positive,6944,basis,50,5,1.0753320121765138,1.0773862075805665,0.0020541954040527344,-6.324625015258786e-05,0.004267442703247071,0.057971014492753624,0.56,0.56,0.0,0.0007331212361653647,-0.00158489195505778,0.003314338366190591,0.5487256371814093,0.58792032555151,0.6651219844623143,0.0010345077514648437,0.0020541954040527344,0.004086666107177735,True,positive_control_advantage
21,possession_and_alienability,True,C,specific_positive,specific_positive,15325,changed,50,0,0.07738372802734375,0.09486793518066407,0.017484207153320313,0.008119962692260741,0.028006473541259753,0.0009995002498750624,0.46,0.46,0.0,0.019592081705729167,0.008664489110310872,0.031086334864298504,0.0009995002498750624,0.0021417862497322766,0.004442223332778055,0.008757858276367188,0.017484207153320313,0.03487800598144531,True,specific_positive
22,tense_prominence,False,C,null_or_reverse,specific_positive,1385,basis,50,12,-0.9085069847106934,-0.9066370391845703,0.0018699455261230468,0.0007549529075622558,0.0029127359390258784,0.0029985007496251873,0.38,0.38,0.0,0.0017650540669759116,0.0005112217267354331,0.003021377245585123,0.0069965017491254375,,0.02152769768961673,0.0009420013427734375,0.0018699455261230468,0.0037418079376220705,True,specific_positive
23,aspect_and_event_structure,True,B,specific_positive,specific_positive,6216,basis,50,0,-0.526572265625,-0.5260673522949219,0.000504913330078125,-0.0014870891571044922,0.0024571199417114235,0.6276861569215393,0.48,0.48,0.0,0.0030342864990234373,0.0010029760996500652,0.004951725323994954,0.004997501249375313,0.009370314842578711,0.01665833749791771,0.00024608612060546877,0.000504913330078125,0.0009869384765625,True,specific_positive
24,modality_and_mood,True,A,specific_positive,specific_positive,13197,changed,50,0,-0.3992104339599609,-0.39582855224609376,0.0033818817138671874,0.0016636972427368163,0.005040048599243164,0.001999000499750125,0.44,0.44,0.0,0.001626866658528646,-0.0006962776184082028,0.003998645464579263,0.15092453773113443,0.19365317341329336,0.25820423121772446,0.0017037582397460937,0.0033818817138671874,0.006744346618652344,True,positive_control_advantage
25,epistemic_modality,False,A,positive_nonspecific,specific_positive,15221,changed,50,8,-0.9322051620483398,-0.9362126922607422,-0.004007530212402344,-0.005175095558166504,-0.0027592058181762705,0.0009995002498750624,0.5,0.5,0.0,-0.006723696390787761,-0.008089835961659747,-0.005288763999938964,0.0009995002498750624,,0.004442223332778055,-0.002014884948730469,-0.004007530212402344,-0.00809051513671875,False,null_or_reverse
26,evidentiality,False,B,positive_control_advantage,specific_positive,6900,changed,50,46,0.06827980041503906,0.07179803848266601,0.003518238067626953,0.0011292757987976076,0.005980905055999755,0.00399800099950025,0.54,0.54,0.0,-0.0010539944966634115,-0.0039657570521036785,0.0018041653633117665,0.46476761619190404,,0.5809595202398801,0.0017632484436035157,0.003518238067626953,0.007008533477783203,True,positive_nonspecific
27,mirativity_stance_and_affect_marking,True,C,specific_positive,specific_positive,1887,changed,50,0,-3.0751115036010743,-3.065399742126465,0.009711761474609375,0.00628019142150879,0.013294095993041991,0.0009995002498750624,0.08,0.08,0.0,0.005211499532063802,0.0029802153905232756,0.007485000292460123,0.0009995002498750624,0.0021417862497322766,0.004442223332778055,0.004862327575683594,0.009711761474609375,0.019435157775878908,True,specific_positive
28,negation_and_polarity_structure,False,D,null_or_reverse,specific_positive,4382,changed,50,25,-2.0004786682128906,-2.000538387298584,-5.971908569335937e-05,-0.00018524742126464845,7.205963134765625e-05,0.3708145927036482,0.18,0.18,0.0,-0.00023660024007161453,-0.0003883536656697591,-8.442878723144531e-05,0.001999000499750125,,0.00726909272636409,-3.9272308349609375e-05,-5.971908569335937e-05,-0.00013689041137695312,False,null_or_reverse
29,quantifier_scope_and_distributivity,True,B,specific_positive,specific_positive,8551,changed,50,8,0.1573921585083008,0.15953086853027343,0.002138710021972656,-0.0005670828819274902,0.004736244678497314,0.11794102948525736,0.82,0.82,0.0,0.002526868184407552,0.00011073923110961893,0.00487526273727417,0.041979010494752625,0.06296851574212894,0.09328668998833917,0.0010652923583984375,0.002138710021972656,0.0043014144897460934,True,positive_control_advantage
30,conditional_and_counterfactual_marking,False,B,positive_control_advantage,positive_nonspecific,11810,changed,50,45,0.9384716415405273,0.9395833778381347,0.0011117362976074219,0.0001235013008117676,0.002040554046630858,0.02498750624687656,0.8,0.8,0.0,0.0013742701212565106,0.0006277723312377931,0.002088225046793619,0.001999000499750125,,0.00726909272636409,0.0005532073974609375,0.0011117362976074219,0.0022209548950195314,True,specific_positive
31,subordination_and_embedding,False,B,positive_nonspecific,specific_positive,11461,changed,50,0,0.5490387725830078,0.5482553100585937,-0.0007834625244140625,-0.005610761642456055,0.003849447250366209,0.751624187906047,0.74,0.74,0.0,-0.004767862955729166,-0.010037577311197915,0.00022750536600747986,0.06196901549225387,,0.12393803098450776,-0.0003688812255859375,-0.0007834625244140625,-0.0018611907958984374,False,null_or_reverse
32,quotation_and_reported_speech_structure,True,B,specific_positive,specific_positive,1754,basis,50,0,-2.0459177398681643,-2.05001220703125,-0.004094467163085937,-0.006392172813415527,-0.0016574039459228529,0.0029985007496251873,0.24,0.24,0.0,-0.0002522150675455727,-0.0030816923777262366,0.0026525936126708966,0.8765617191404298,0.8765617191404298,0.9226965464636102,-0.002067756652832031,-0.004094467163085937,-0.008127059936523438,False,null_or_reverse
33,discourse_relation_marking,False,D,null_or_reverse,specific_positive,9728,basis,50,26,-1.8880289459228516,-1.8881880950927734,-0.000159149169921875,-0.0002845010757446289,-2.5910377502441566e-05,0.017991004497751123,0.32,0.32,0.0,-0.00015158335367838544,-0.00027061398824055987,-1.904853185017913e-05,0.028985507246376812,,0.07246376811594203,-7.272720336914063e-05,-0.000159149169921875,-0.00031435012817382813,False,null_or_reverse
34,topic_comment_structure,False,D,positive_nonspecific,positive_nonspecific,1302,changed,50,10,-0.28793930053710937,-0.2882023811340332,-0.00026308059692382814,-0.0005011510848999023,-3.0002117156982424e-05,0.022988505747126436,0.4,0.4,0.0,-0.0003810119628906251,-0.0005883814493815103,-0.00017568445205688477,0.0009995002498750624,,0.004442223332778055,-0.00012121200561523437,-0.00026308059692382814,-0.0005180740356445313,False,null_or_reverse
35,focus_and_given_new_marking,False,B,null_or_reverse,null_or_reverse,7136,changed,50,30,0.09913893699645997,0.09953998565673829,0.0004010486602783203,-0.00019109106063842771,0.001016088008880615,0.18790604697651175,0.74,0.74,0.0,9.401321411132806e-05,-0.00048050578435262045,0.0006206771532694496,0.7256371814092953,,0.8292996358963376,0.00020046234130859374,0.0004010486602783203,0.0008128452301025391,True,positive_control_advantage
36,genericity_and_kind_level_reference,False,D,specific_positive,null_or_reverse,1858,changed,50,47,0.3105740737915039,0.31076416015625,0.00019008636474609374,-0.00017594242095947266,0.0005389389991760253,0.32083958020989506,0.52,0.52,0.0,0.00036921819051106774,-7.60709444681803e-05,0.0008625195821126302,0.11294352823588207,,0.21513052997310872,9.263992309570313e-05,0.00019008636474609374,0.00037664413452148437,True,positive_control_advantage
37,social_deixis_honorifics_status_encoding,True,A,specific_positive,specific_positive,2081,changed,50,9,-2.7721133422851563,-2.7774231529235838,-0.005309810638427734,-0.006586918354034424,-0.004025357246398927,0.0009995002498750624,0.1,0.1,0.0,-0.005307114919026693,-0.007664151350657145,-0.002872018973032635,0.0009995002498750624,0.0021417862497322766,0.004442223332778055,-0.002666740417480469,-0.005309810638427734,-0.010535240173339844,False,null_or_reverse
38,speech_act_force_and_request_directness,False,C,specific_positive,null_or_reverse,14406,changed,50,26,0.2917226409912109,0.2915285301208496,-0.00019411087036132812,-0.0007258071899414062,0.00032734251022338833,0.4847576211894053,0.52,0.52,0.0,-3.040313720703118e-05,-0.0007248797416687011,0.0007275176048278809,0.9415292353823088,,0.9415292353823087,-9.891510009765625e-05,-0.00019411087036132812,-0.0003956222534179687,False,null_or_reverse
39,deixis_and_perspective_anchoring,False,A,positive_nonspecific,specific_positive,14441,basis,50,0,-0.004705619812011719,-0.005412445068359375,-0.0007068252563476562,-0.002067180633544922,0.0007438964843749994,0.3218390804597701,0.6,0.6,0.0,-6.874084472656244e-05,-0.0015615361531575525,0.0014021809895833318,0.9015492253873063,,0.924665872192109,-0.00035511016845703126,-0.0007068252563476562,-0.0014117813110351562,False,null_or_reverse
40,orthographic_and_tokenization_interface,False,B,positive_nonspecific,null_or_reverse,3132,basis,50,0,-0.5433958053588868,-0.5433072662353515,8.853912353515625e-05,-5.009937286376953e-05,0.00023153400421142565,0.1889055472263868,0.46,0.46,0.0,4.426320393880204e-05,-0.00018344624837239584,0.0002596359252929687,0.7126436781609196,,0.8292996358963376,3.963470458984375e-05,8.853912353515625e-05,0.0001750946044921875,True,positive_control_advantage
