candidate_key,probe_family,variable_id,variable,representation,layer_idx,layer_name,hidden_dim,regularization_c,train_accuracy,train_balanced_accuracy,train_f1,train_auroc,train_n,train_positive_rate,val_accuracy,val_balanced_accuracy,val_f1,val_auroc,val_n,val_positive_rate,test_accuracy,test_balanced_accuracy,test_f1,test_auroc,test_n,test_positive_rate,suspiciously_high_test_auroc,possible_overfit,weak_signal,selected_by,val_auroc_ci_lower,val_auroc_ci_upper,val_auroc_bootstrap_valid_samples,test_auroc_ci_lower,test_auroc_ci_upper,test_auroc_bootstrap_valid_samples
delta_direction_basis_to_changed|var=11|repr=final_token|layer=0,delta_direction_basis_to_changed,11,agreement_indexing_density,final_token,0,layer_0,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,1.0,1.0,1.0,1.0,100,0.5,0.5,0.5,0.5,0.7316,100,0.5,False,False,False,validation_auroc_then_validation_balanced_accuracy,0.9999999999999999,1.0,1000.0,0.6161429924242425,0.8287426948051948,1000.0
delta_direction_basis_to_changed|var=12|repr=final_token|layer=0,delta_direction_basis_to_changed,12,optionality_vs_obligatoriness_of_marking,final_token,0,layer_0,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,1.0,1.0,1.0,1.0,100,0.5,0.54,0.54,0.54,0.6644000000000001,100,0.5,False,False,False,validation_auroc_then_validation_balanced_accuracy,0.9999999999999999,1.0,1000.0,0.5531230757389164,0.7687515885108468,1000.0
delta_direction_basis_to_changed|var=13|repr=final_token|layer=3,delta_direction_basis_to_changed,13,redundancy_cumulative_exponence,final_token,3,layer_3,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,1.0,1.0,1.0,1.0,100,0.5,0.74,0.74,0.74,0.878,100,0.5,False,False,False,validation_auroc_then_validation_balanced_accuracy,0.9999999999999999,1.0,1000.0,0.8104497313031797,0.9363487835166979,1000.0
delta_direction_basis_to_changed|var=14|repr=final_token|layer=18,delta_direction_basis_to_changed,14,definiteness_and_specificity,final_token,18,layer_18,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,1.0,1.0,1.0,1.0,100,0.5,0.98,0.98,0.98,0.986,100,0.5,True,False,False,validation_auroc_then_validation_balanced_accuracy,0.9999999999999999,1.0,1000.0,0.9631291399036532,1.0,1000.0
delta_direction_basis_to_changed|var=15|repr=final_token|layer=19,delta_direction_basis_to_changed,15,number_marking,final_token,19,layer_19,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,0.76,0.76,0.76,0.7864,100,0.5,0.4,0.4,0.4,0.4376,100,0.5,False,True,True,validation_auroc_then_validation_balanced_accuracy,0.6884030702902516,0.8715267896354852,1000.0,0.3243614954541477,0.5596084644522145,1000.0
delta_direction_basis_to_changed|var=16|repr=final_token|layer=0,delta_direction_basis_to_changed,16,gender_noun_class,final_token,0,layer_0,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,1.0,1.0,1.0,1.0,100,0.5,0.94,0.94,0.94,0.9884000000000001,100,0.5,True,False,False,validation_auroc_then_validation_balanced_accuracy,0.9999999999999999,1.0,1000.0,0.9718482252141983,0.9991883116883117,1000.0
delta_direction_basis_to_changed|var=17|repr=final_token|layer=20,delta_direction_basis_to_changed,17,animacy_and_humanness,final_token,20,layer_20,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,1.0,1.0,1.0,1.0,100,0.5,0.8,0.8,0.8,0.9248,100,0.5,False,False,False,validation_auroc_then_validation_balanced_accuracy,0.9999999999999999,1.0,1000.0,0.8696508196721311,0.965206892814131,1000.0
delta_direction_basis_to_changed|var=18|repr=mean_pooled|layer=11,delta_direction_basis_to_changed,18,person_marking_and_person_hierarchy,mean_pooled,11,layer_11,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,0.82,0.82,0.82,0.8996,100,0.5,0.72,0.72,0.72,0.8208,100,0.5,False,False,False,validation_auroc_then_validation_balanced_accuracy,0.8218155958624709,0.9612156346069389,1000.0,0.734763592937175,0.8948972094715629,1000.0
delta_direction_basis_to_changed|var=19|repr=mean_pooled|layer=9,delta_direction_basis_to_changed,19,inclusive_exclusive_distinction,mean_pooled,9,layer_9,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,0.94,0.94,0.94,0.9908,100,0.5,0.76,0.76,0.76,0.9096000000000001,100,0.5,False,False,False,validation_auroc_then_validation_balanced_accuracy,0.9771586174242425,0.9991919923876446,1000.0,0.855068245684464,0.9536171428571428,1000.0
delta_direction_basis_to_changed|var=20|repr=final_token|layer=1,delta_direction_basis_to_changed,20,pronoun_richness_and_reduction,final_token,1,layer_1,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,1.0,1.0,1.0,1.0,100,0.5,1.0,1.0,1.0,1.0,100,0.5,True,False,False,validation_auroc_then_validation_balanced_accuracy,0.9999999999999999,1.0,1000.0,0.9999999999999999,1.0,1000.0
delta_direction_basis_to_changed|var=21|repr=final_token|layer=5,delta_direction_basis_to_changed,21,possession_and_alienability,final_token,5,layer_5,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,0.9,0.9,0.9,0.9604,100,0.5,0.76,0.76,0.76,0.8735999999999999,100,0.5,False,False,False,validation_auroc_then_validation_balanced_accuracy,0.9259681637077908,0.9878271260744086,1000.0,0.8003185984252386,0.9350703570534586,1000.0
delta_direction_basis_to_changed|var=22|repr=final_token|layer=1,delta_direction_basis_to_changed,22,tense_prominence,final_token,1,layer_1,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,0.68,0.68,0.68,0.8248,100,0.5,0.86,0.86,0.86,0.9252,100,0.5,False,True,False,validation_auroc_then_validation_balanced_accuracy,0.741866038961039,0.898042954636692,1000.0,0.8687497462753218,0.9721069343800322,1000.0
delta_direction_basis_to_changed|var=23|repr=final_token|layer=18,delta_direction_basis_to_changed,23,aspect_and_event_structure,final_token,18,layer_18,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,0.88,0.88,0.88,0.9616,100,0.5,0.46,0.46,0.46,0.38359999999999994,100,0.5,False,False,True,validation_auroc_then_validation_balanced_accuracy,0.9266772411616161,0.985945429181109,1000.0,0.2801779891304348,0.4951696627647714,1000.0
delta_direction_basis_to_changed|var=24|repr=final_token|layer=21,delta_direction_basis_to_changed,24,modality_and_mood,final_token,21,layer_21,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,0.9,0.9,0.9,0.9683999999999999,100,0.5,0.62,0.62,0.62,0.7444,100,0.5,False,False,False,validation_auroc_then_validation_balanced_accuracy,0.9371748699479792,0.9911690004014452,1000.0,0.6329106909875553,0.8355549492524282,1000.0
delta_direction_basis_to_changed|var=25|repr=mean_pooled|layer=0,delta_direction_basis_to_changed,25,epistemic_modality,mean_pooled,0,layer_0,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,1.0,1.0,1.0,1.0,100,0.5,0.82,0.82,0.82,0.7515999999999999,100,0.5,False,False,False,validation_auroc_then_validation_balanced_accuracy,0.9999999999999999,1.0,1000.0,0.6448452976168754,0.84542077020202,1000.0
delta_direction_basis_to_changed|var=26|repr=final_token|layer=6,delta_direction_basis_to_changed,26,evidentiality,final_token,6,layer_6,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,0.72,0.72,0.72,0.8855999999999999,100,0.5,0.58,0.58,0.58,0.7020000000000001,100,0.5,False,False,False,validation_auroc_then_validation_balanced_accuracy,0.8210024350649351,0.9404335693885878,1000.0,0.5874076354679802,0.796685275974026,1000.0
delta_direction_basis_to_changed|var=27|repr=final_token|layer=0,delta_direction_basis_to_changed,27,mirativity_stance_and_affect_marking,final_token,0,layer_0,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,1.0,1.0,1.0,1.0,100,0.5,1.0,1.0,1.0,1.0,100,0.5,True,False,False,validation_auroc_then_validation_balanced_accuracy,0.9999999999999999,1.0,1000.0,0.9999999999999999,1.0,1000.0
delta_direction_basis_to_changed|var=28|repr=mean_pooled|layer=2,delta_direction_basis_to_changed,28,negation_and_polarity_structure,mean_pooled,2,layer_2,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,0.66,0.66,0.66,0.7867999999999999,100,0.5,0.82,0.82,0.82,0.9604,100,0.5,False,True,False,validation_auroc_then_validation_balanced_accuracy,0.6978327410509659,0.8634863812756224,1000.0,0.9235035133948176,0.9856030028559771,1000.0
delta_direction_basis_to_changed|var=29|repr=final_token|layer=0,delta_direction_basis_to_changed,29,quantifier_scope_and_distributivity,final_token,0,layer_0,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,1.0,1.0,1.0,1.0,100,0.5,0.84,0.84,0.84,0.9743999999999999,100,0.5,True,False,False,validation_auroc_then_validation_balanced_accuracy,0.9999999999999999,1.0,1000.0,0.9471134142496848,0.99278875,1000.0
delta_direction_basis_to_changed|var=30|repr=final_token|layer=0,delta_direction_basis_to_changed,30,conditional_and_counterfactual_marking,final_token,0,layer_0,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,1.0,1.0,1.0,1.0,100,0.5,0.9,0.9,0.9,0.9284,100,0.5,False,False,False,validation_auroc_then_validation_balanced_accuracy,0.9999999999999999,1.0,1000.0,0.8754062499999999,0.9747899159663865,1000.0
delta_direction_basis_to_changed|var=31|repr=final_token|layer=0,delta_direction_basis_to_changed,31,subordination_and_embedding,final_token,0,layer_0,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,1.0,1.0,1.0,1.0,100,0.5,0.5,0.5,0.5,0.7468,100,0.5,False,False,False,validation_auroc_then_validation_balanced_accuracy,0.9999999999999999,1.0,1000.0,0.6397802183977456,0.83219300519489,1000.0
delta_direction_basis_to_changed|var=32|repr=final_token|layer=0,delta_direction_basis_to_changed,32,quotation_and_reported_speech_structure,final_token,0,layer_0,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,1.0,1.0,1.0,1.0,100,0.5,1.0,1.0,1.0,1.0,100,0.5,True,False,False,validation_auroc_then_validation_balanced_accuracy,0.9999999999999999,1.0,1000.0,0.9999999999999999,1.0,1000.0
delta_direction_basis_to_changed|var=33|repr=final_token|layer=5,delta_direction_basis_to_changed,33,discourse_relation_marking,final_token,5,layer_5,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,0.78,0.78,0.78,0.75,100,0.5,0.16,0.16,0.16,0.0864,100,0.5,False,True,True,validation_auroc_then_validation_balanced_accuracy,0.649279356060606,0.8516099999999999,1000.0,0.03899378717004044,0.1452691019589654,1000.0
delta_direction_basis_to_changed|var=34|repr=mean_pooled|layer=12,delta_direction_basis_to_changed,34,topic_comment_structure,mean_pooled,12,layer_12,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,0.8,0.8,0.8,0.944,100,0.5,0.98,0.98,0.98,0.9995999999999999,100,0.5,True,False,False,validation_auroc_then_validation_balanced_accuracy,0.8976048278854382,0.9775641025641025,1000.0,0.997598967471604,1.0,1000.0
delta_direction_basis_to_changed|var=35|repr=final_token|layer=0,delta_direction_basis_to_changed,35,focus_and_given_new_marking,final_token,0,layer_0,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,1.0,1.0,1.0,1.0,100,0.5,1.0,1.0,1.0,1.0,100,0.5,True,False,False,validation_auroc_then_validation_balanced_accuracy,0.9999999999999999,1.0,1000.0,0.9999999999999999,1.0,1000.0
delta_direction_basis_to_changed|var=36|repr=final_token|layer=12,delta_direction_basis_to_changed,36,genericity_and_kind_level_reference,final_token,12,layer_12,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,0.82,0.82,0.82,0.9556,100,0.5,0.92,0.92,0.92,0.9472,100,0.5,False,False,False,validation_auroc_then_validation_balanced_accuracy,0.9134615384615385,0.9834955234981198,1000.0,0.8971588635454182,0.9829646915584416,1000.0
delta_direction_basis_to_changed|var=37|repr=final_token|layer=0,delta_direction_basis_to_changed,37,social_deixis_honorifics_status_encoding,final_token,0,layer_0,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,1.0,1.0,1.0,1.0,100,0.5,0.5,0.5,0.5,0.75,100,0.5,False,False,False,validation_auroc_then_validation_balanced_accuracy,0.9999999999999999,1.0,1000.0,0.6514289772727273,0.8457963564213565,1000.0
delta_direction_basis_to_changed|var=38|repr=final_token|layer=2,delta_direction_basis_to_changed,38,speech_act_force_and_request_directness,final_token,2,layer_2,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,1.0,1.0,1.0,1.0,100,0.5,0.56,0.56,0.56,0.58,100,0.5,False,False,True,validation_auroc_then_validation_balanced_accuracy,0.9999999999999999,1.0,1000.0,0.4653686112126009,0.6888557247350351,1000.0
delta_direction_basis_to_changed|var=39|repr=mean_pooled|layer=14,delta_direction_basis_to_changed,39,deixis_and_perspective_anchoring,mean_pooled,14,layer_14,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,0.7,0.7,0.7,0.81,100,0.5,0.84,0.84,0.84,0.8816,100,0.5,False,True,False,validation_auroc_then_validation_balanced_accuracy,0.7133579961937047,0.8928814674908425,1000.0,0.8091980912364947,0.9437656959335459,1000.0
delta_direction_basis_to_changed|var=40|repr=final_token|layer=0,delta_direction_basis_to_changed,40,orthographic_and_tokenization_interface,final_token,0,layer_0,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,0.74,0.74,0.74,0.8508,100,0.5,0.5,0.5,0.5,0.518,100,0.5,False,False,True,validation_auroc_then_validation_balanced_accuracy,0.7707825252525253,0.9151447353638562,1000.0,0.4045461982113086,0.6335018770495864,1000.0
sentence_basis_changed|var=1|repr=mean_pooled|layer=12,sentence_basis_changed,1,Subject expression / pro-drop,mean_pooled,12,layer_12,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,0.53,0.53,0.11320754716981132,0.9683999999999999,100,0.5,0.5,0.5,0.0,0.9503999999999999,100,0.5,False,False,False,validation_auroc_then_validation_balanced_accuracy,0.9353669776853237,0.9915703254404934,1000.0,0.9098311734745081,0.9818211014196563,1000.0
sentence_basis_changed|var=2|repr=mean_pooled|layer=8,sentence_basis_changed,2,basic_constituent_order,mean_pooled,8,layer_8,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,0.87,0.87,0.8539325842696629,0.9216000000000001,100,0.5,0.54,0.54,0.5576923076923077,0.5928,100,0.5,False,False,True,validation_auroc_then_validation_balanced_accuracy,0.8599646464646463,0.9675560095642063,1000.0,0.4787428863910077,0.7085708550782818,1000.0
sentence_basis_changed|var=3|repr=mean_pooled|layer=9,sentence_basis_changed,3,nominal_modifier_order,mean_pooled,9,layer_9,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,0.82,0.8200000000000001,0.8163265306122449,0.8944,100,0.5,0.51,0.51,0.5420560747663551,0.5312,100,0.5,False,False,True,validation_auroc_then_validation_balanced_accuracy,0.8264672946859902,0.9478888888888889,1000.0,0.4198948153286898,0.6415161697574343,1000.0
sentence_basis_changed|var=4|repr=mean_pooled|layer=18,sentence_basis_changed,4,case_marking,mean_pooled,18,layer_18,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,0.94,0.94,0.9375,0.992,100,0.5,0.97,0.97,0.9690721649484536,0.9916,100,0.5,True,False,False,validation_auroc_then_validation_balanced_accuracy,0.9786549088796964,0.999594200937951,1000.0,0.9771634615384616,1.0,1000.0
sentence_basis_changed|var=5|repr=mean_pooled|layer=8,sentence_basis_changed,5,morphosyntactic_alignment,mean_pooled,8,layer_8,1024,1.0,0.99875,0.99875,0.9987515605493134,1.0,800,0.5,0.77,0.77,0.7526881720430108,0.8516,100,0.5,0.78,0.78,0.7884615384615384,0.8208000000000001,100,0.5,False,False,False,validation_auroc_then_validation_balanced_accuracy,0.7672230113636364,0.9184376645314145,1000.0,0.7259772509003601,0.895059631642512,1000.0
sentence_basis_changed|var=6|repr=final_token|layer=14,sentence_basis_changed,6,transitivity_valency,final_token,14,layer_14,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,0.5,0.5,0.6666666666666666,0.864,100,0.5,0.51,0.51,0.6711409395973155,0.9644,100,0.5,False,False,False,validation_auroc_then_validation_balanced_accuracy,0.7825031004547334,0.9294013127060373,1000.0,0.9290793749999999,0.9907963185274109,1000.0
sentence_basis_changed|var=7|repr=final_token|layer=0,sentence_basis_changed,7,voice_and_agent_prominence,final_token,0,layer_0,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,1.0,1.0,1.0,1.0,100,0.5,0.76,0.76,0.7894736842105263,0.8595999999999999,100,0.5,False,False,False,validation_auroc_then_validation_balanced_accuracy,0.9999999999999999,1.0,1000.0,0.7856362592834204,0.9204633838383838,1000.0
sentence_basis_changed|var=8|repr=final_token|layer=13,sentence_basis_changed,8,causativity_and_valency_change,final_token,13,layer_13,1024,1.0,0.98,0.98,0.9800498753117207,0.999165625,800,0.5,0.96,0.96,0.9591836734693877,0.9952000000000001,100,0.5,0.8,0.8,0.8148148148148148,0.8572,100,0.5,False,False,False,validation_auroc_then_validation_balanced_accuracy,0.9827926002131622,1.0,1000.0,0.7732105795502312,0.9253717542270531,1000.0
sentence_basis_changed|var=9|repr=mean_pooled|layer=7,sentence_basis_changed,9,analytic_vs_synthetic_encoding,mean_pooled,7,layer_7,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,0.8,0.8,0.75,1.0,100,0.5,0.93,0.9299999999999999,0.9247311827956989,0.9952,100,0.5,True,False,False,validation_auroc_then_validation_balanced_accuracy,0.9999999999999999,1.0,1000.0,0.9863941490057562,1.0,1000.0
sentence_basis_changed|var=10|repr=mean_pooled|layer=1,sentence_basis_changed,10,morphological_segmentation_type,mean_pooled,1,layer_1,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,0.88,0.88,0.8888888888888888,0.9812,100,0.5,0.79,0.79,0.7529411764705882,0.9556,100,0.5,False,False,False,validation_auroc_then_validation_balanced_accuracy,0.9569207755565994,0.9968031609195402,1000.0,0.9126370028721755,0.98798125,1000.0
sentence_basis_changed|var=11|repr=final_token|layer=0,sentence_basis_changed,11,agreement_indexing_density,final_token,0,layer_0,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,1.0,1.0,1.0,1.0,100,0.5,0.69,0.69,0.6593406593406593,0.7536,100,0.5,False,False,False,validation_auroc_then_validation_balanced_accuracy,0.9999999999999999,1.0,1000.0,0.6473240115718418,0.8433344574059735,1000.0
sentence_basis_changed|var=12|repr=mean_pooled|layer=12,sentence_basis_changed,12,optionality_vs_obligatoriness_of_marking,mean_pooled,12,layer_12,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,0.9,0.9,0.8888888888888888,0.9868000000000001,100,0.5,0.58,0.58,0.6911764705882353,0.6275999999999999,100,0.5,False,False,False,validation_auroc_then_validation_balanced_accuracy,0.9664626941685766,1.0,1000.0,0.515224358974359,0.7396022041062803,1000.0
sentence_basis_changed|var=13|repr=mean_pooled|layer=23,sentence_basis_changed,13,redundancy_cumulative_exponence,mean_pooled,23,layer_23,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,0.97,0.97,0.9690721649484536,0.994,100,0.5,0.52,0.52,0.4146341463414634,0.6208,100,0.5,False,False,False,validation_auroc_then_validation_balanced_accuracy,0.9811658775252525,1.0,1000.0,0.4993282747615571,0.7320073229291716,1000.0
sentence_basis_changed|var=14|repr=mean_pooled|layer=13,sentence_basis_changed,14,definiteness_and_specificity,mean_pooled,13,layer_13,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,0.84,0.84,0.8431372549019608,0.8956,100,0.5,0.73,0.73,0.7157894736842105,0.8204,100,0.5,False,False,False,validation_auroc_then_validation_balanced_accuracy,0.8219245104705872,0.9546055139755603,1000.0,0.7286368599033817,0.8956089595838336,1000.0
sentence_basis_changed|var=15|repr=final_token|layer=23,sentence_basis_changed,15,number_marking,final_token,23,layer_23,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,0.5,0.5,0.6527777777777778,0.6096,100,0.5,0.46,0.46,0.5573770491803278,0.4376,100,0.5,False,True,True,validation_auroc_then_validation_balanced_accuracy,0.49305741645649437,0.7174468109231694,1000.0,0.3293066374276984,0.5478291316526611,1000.0
sentence_basis_changed|var=16|repr=final_token|layer=0,sentence_basis_changed,16,gender_noun_class,final_token,0,layer_0,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,1.0,1.0,1.0,1.0,100,0.5,0.84,0.84,0.8596491228070176,0.8667999999999999,100,0.5,False,False,False,validation_auroc_then_validation_balanced_accuracy,0.9999999999999999,1.0,1000.0,0.7834997744447096,0.9383094919083649,1000.0
sentence_basis_changed|var=17|repr=final_token|layer=12,sentence_basis_changed,17,animacy_and_humanness,final_token,12,layer_12,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,0.67,0.6699999999999999,0.6796116504854369,0.7328,100,0.5,0.67,0.67,0.7272727272727273,0.7931999999999999,100,0.5,False,True,False,validation_auroc_then_validation_balanced_accuracy,0.6383812494519399,0.8241296600877193,1000.0,0.7018149978041283,0.8711840140535794,1000.0
sentence_basis_changed|var=18|repr=final_token|layer=9,sentence_basis_changed,18,person_marking_and_person_hierarchy,final_token,9,layer_9,1024,1.0,0.96375,0.96375,0.9635220125786164,0.9954937500000001,800,0.5,0.64,0.6399999999999999,0.660377358490566,0.7312000000000001,100,0.5,0.59,0.59,0.6962962962962963,0.6776,100,0.5,False,True,False,validation_auroc_then_validation_balanced_accuracy,0.6306422569027611,0.8263977049180329,1000.0,0.5702249142081075,0.7842131417941298,1000.0
sentence_basis_changed|var=19|repr=mean_pooled|layer=11,sentence_basis_changed,19,inclusive_exclusive_distinction,mean_pooled,11,layer_11,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,0.74,0.74,0.7719298245614035,0.8776,100,0.5,0.71,0.71,0.6881720430107527,0.7435999999999998,100,0.5,False,False,False,validation_auroc_then_validation_balanced_accuracy,0.8031929166666667,0.9337930194805195,1000.0,0.6335106363922962,0.8358189482135688,1000.0
sentence_basis_changed|var=20|repr=mean_pooled|layer=12,sentence_basis_changed,20,pronoun_richness_and_reduction,mean_pooled,12,layer_12,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,0.93,0.9299999999999999,0.9247311827956989,0.992,100,0.5,0.91,0.9099999999999999,0.9174311926605505,0.922,100,0.5,False,False,False,validation_auroc_then_validation_balanced_accuracy,0.9771908763505402,1.0,1000.0,0.8618952790044159,0.9716935422817776,1000.0
sentence_basis_changed|var=21|repr=mean_pooled|layer=15,sentence_basis_changed,21,possession_and_alienability,mean_pooled,15,layer_15,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,0.75,0.75,0.7058823529411765,0.8356,100,0.5,0.69,0.69,0.6868686868686869,0.7276,100,0.5,False,True,False,validation_auroc_then_validation_balanced_accuracy,0.7494789050428743,0.9028568654715823,1000.0,0.6271763629064633,0.8217300982893158,1000.0
